############################
# Luminosity distance data #
############################
# Contains user id number, the timestamp of the measurement, the observation number, the distance (Mpc), and the instrument response
# An instrument response of 1 indicates a valid measurement, E indicates an error
User_id	Timestamp	Observation_number	Distance	Instrument_response
1ff2e054	11:09:36	25604	144.34385138475741	1
1ff2e054	11:04:24	20507	241.23096965634448	1
1fe28477	1:22:48	11982	101.16845054447789	1
768e8c4d	0:29:36	21212	228.8697268823756	1
1ff2e054	20:10:48	21251	177.89186545451662	1
768e8c4d	3:12:00	15162	172.92958808664633	1
955c6923	3:52:24	47700	104.78684474472409	1
955c6923	20:32:24	27079	119.68314755374267	1
955c6923	15:50:24	43995	143.44380666466984	E
3971500f	15:36:48	20585	221.00361656780188	E
1fe28477	13:02:00	40969	135.05835022312263	1
955c6923	9:49:36	11268	214.91611566969289	E
1fe28477	9:41:12	18045	248.24446821740014	1
955c6923	6:47:36	39352	204.4729228561018	1
3971500f	13:49:12	30308	253.8792971001333	1
1fe28477	1:24:48	10509	182.76673012878712	1
768e8c4d	10:10:00	22260	169.89679903663875	1
1ff2e054	5:50:24	45769	82.34783031450995	1
1fe28477	22:12:48	40457	135.56424857533057	1
768e8c4d	0:08:48	32462	166.37876392838837	1
955c6923	23:42:00	48672	163.23411805854724	1
955c6923	10:14:24	40873	244.0742161485815	E
1fe28477	21:08:48	11239	217.62151169379544	1
1ff2e054	6:31:36	23933	225.55121243786718	1
3971500f	9:11:12	33315	108.44940123251739	1
3971500f	14:23:36	46882	95.99384107620473	1
3971500f	15:12:24	31386	150.15771302356183	1
1ff2e054	22:10:48	14269	103.26173606753167	1
955c6923	11:49:12	43295	178.297586456874	E
768e8c4d	18:38:24	21339	141.30530023519827	1
